2	3
3	7
4	3
5	5
6	31
7	3
8	3
9	7
10	127
11	3
12	5
13	17
14	7
15	73
16	3
17	11
18	31
19	23
20	89
21	3
22	3
23	5
24	7
25	13
26	8191
27	3
28	43
29	127
30	7
31	31
32	151
33	3
34	5
35	17
36	257
37	131071
38	3
39	3
40	3
41	7
42	19
43	73
44	524287
45	3
46	5
47	5
48	11
49	31
50	41
51	7
52	7
53	127
54	337
55	3
56	23
57	89
58	683
59	47
60	178481
61	3
62	3
63	5
64	7
65	13
66	17
67	241
68	31
69	601
70	1801
71	3
72	2731
73	8191
74	7
75	73
76	262657
77	3
78	5
79	29
80	43
81	113
82	127
83	233
84	1103
85	2089
86	3
87	3
88	7
89	11
90	31
91	151
92	331
93	2147483647
94	3
95	5
96	17
97	257
98	65537
99	7
100	23
101	89
102	599479
103	3
104	43691
105	131071
106	31
107	71
108	127
109	122921
110	3
111	3
112	3
113	5
114	7
115	13
116	19
117	37
118	73
119	109
120	223
121	616318177
122	3
123	174763
124	524287
125	7
126	79
127	8191
128	121369
129	3
130	5
131	5
132	11
133	17
134	31
135	41
136	61681
137	13367
138	164511353
139	3
140	3
141	7
142	7
143	43
144	127
145	337
146	5419
147	431
148	9719
149	2099863
150	3
151	5
152	23
153	89
154	397
155	683
156	2113
157	7
158	31
159	73
160	151
161	631
162	23311
163	3
164	47
165	178481
166	2796203
167	2351
168	4513
169	13264529
170	3
171	3
172	5
173	7
174	13
175	17
176	97
177	241
178	257
179	673
180	127
181	4432676798593
182	3
183	11
184	31
185	251
186	601
187	1801
188	4051
189	7
190	103
191	2143
192	11119
193	131071
194	3
195	5
196	53
197	157
198	1613
199	2731
200	8191
201	6361
202	69431
203	20394401
204	3
205	3
206	3
207	3
208	7
209	19
210	73
211	87211
212	262657
213	23
214	31
215	89
216	881
217	3191
218	201961
219	3
220	5
221	17
222	29
223	43
224	113
225	127
226	15790321
227	7
228	32377
229	524287
230	1212847
231	3
232	59
233	233
234	1103
235	2089
236	3033169
237	179951
238	3203431780337
239	3
240	3
241	5
242	5
243	7
244	11
245	13
